Provinsi;Luar Kota;Dalam Kota;Diklat
Aceh; 360.000 ; 140.000 ; 110.000 
Sumatera Utara; 370.000 ; 150.000 ; 110.000 
Riau; 370.000 ; 150.000 ; 110.000 
Kepulauan Riau; 370.000 ; 150.000 ; 110.000 
Jambi; 370.000 ; 150.000 ; 110.000 
Sumatera Barat; 380.000 ; 150.000 ; 110.000 
Sumatera Selatan; 380.000 ; 150.000 ; 110.000 
Lampung; 380.000 ; 150.000 ; 110.000 
Bengkulu; 380.000 ; 150.000 ; 110.000 
Bangka Belitung; 410.000 ; 160.000 ; 120.000 
Banten; 370.000 ; 150.000 ; 110.000 
Jawa Barat; 430.000 ; 170.000 ; 130.000 
DKI Jakarta; 530.000 ; 210.000 ; 160.000 
Jawa Tengah; 370.000 ; 150.000 ; 110.000 
D.I. Yogyakarta; 420.000 ; 170.000 ; 130.000 
Jawa Timur; 410.000 ; 160.000 ; 120.000 
Bali; 480.000 ; 190.000 ; 140.000 
Nusa Tenggara Barat; 440.000 ; 180.000 ; 130.000 
Nusa Tenggara Timur; 430.000 ; 170.000 ; 130.000 
Kalimantan Barat; 380.000 ; 150.000 ; 110.000 
Kalimantan Tengah; 360.000 ; 140.000 ; 110.000 
Kalimantan Selatan; 380.000 ; 150.000 ; 110.000 
Kelimantan Timur; 430.000 ; 170.000 ; 130.000 
Kalimantan Utara; 430.000 ; 170.000 ; 130.000 
Sulawesi Utara; 370.000 ; 150.000 ; 110.000 
Gorontalo; 370.000 ; 150.000 ; 110.000 
Sulawesi Barat; 410.000 ; 160.000 ; 120.000 
Sulawesi Selatan; 430.000 ; 170.000 ; 130.000 
Sulawesi Tengah; 370.000 ; 150.000 ; 110.000 
Sulawesi Tenggara; 380.000 ; 150.000 ; 110.000 
Maluku; 380.000 ; 150.000 ; 110.000 
Maluku Utara; 430.000 ; 170.000 ; 130.000 
Papua; 580.000 ; 230.000 ; 170.000 
Papua Barat; 480.000 ; 190.000 ; 140.000 
;;;
;;;
;;;
;;;
;;;
