Provinsi;Gol. IV;Gol. III/II/I
Aceh; 1.533.000 ; 770.000 
Sumatera Utara; 1.100.000 ; 699.000 
Riau; 1.650.000 ; 852.000 
Kepulauan Riau; 1.297.000 ; 792.000 
Jambi; 1.225.000 ; 580.000 
Sumatera Barat; 1.353.000 ; 701.000 
Sumatera Selatan; 1.955.000 ; 861.000 
Lampung; 1.425.000 ; 580.000 
Bengkulu; 1.546.000 ; 692.000 
Bangka Belitung; 1.957.000 ; 649.000 
Banten; 1.204.000 ; 724.000 
Jawa Barat; 1.201.000 ; 686.000 
DKI Jakarta; 992.000 ; 730.000 
Jawa Tengah; 1.201.000 ; 750.000 
D.I. Yogyakarta; 1.384.000 ; 845.000 
Jawa Timur; 1.153.000 ; 814.000 
Bali; 1.685.000 ; 1.138.000 
Nusa Tenggara Barat; 1.418.000 ; 907.000 
Nusa Tenggara Timur; 1.355.000 ; 688.000 
Kalimantan Barat; 1.125.000 ; 538.000 
Kalimantan Tengah; 1.160.000 ; 659.000 
Kalimantan Selatan; 1.500.000 ; 697.000 
Kelimantan Timur; 1.507.000 ; 804.000 
Kalimantan Utara; 1.507.000 ; 904.000 
Sulawesi Utara; 1.270.000 ; 978.000 
Gorontalo; 1.606.000 ; 955.000 
Sulawesi Barat; 1.344.000 ; 704.000 
Sulawesi Selatan; 1.423.000 ; 745.000 
Sulawesi Tengah; 1.679.000 ; 951.000 
Sulawesi Tenggara; 1.297.000 ; 786.000 
Maluku; 1.059.000 ; 697.000 
Maluku Utara; 1.160.000 ; 605.000 
Papua; 2.521.000 ; 1.038.000 
Papua Barat; 2.056.000 ; 967.000 
Papua Barat Daya; 2.056.000 ; 967.000 
Papua Tengah; 2.521.000 ; 1.038.000 
Papua Selatan; 3.706.000 ; 1.526.000 
Papua Pegunungan; 3.731.000 ; 1.536.000 
Papua Pegunungan; 3.731.000 ; 1.536.000 
